2025년 7월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
품   목,항   목,규  격,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,평균,최대값,최소값,표준편차,Cp
,,,화,수,목,금,토,일,월,화,수,목,금,토,일,월,화,수,목,금,토,일,월,화,수,목,금,토,일,월,화,수,목,,,,,
옥수수,산   지,,,미산,,미산,,,미산,,미산,,,,,미산,,미산,,미산,,,미산,,,,,,,미산,,미산,,,,,,
,모선명,,,PAN,,PAN,,,PAN,,ACRA,,,,,ACRA,,ACRA,,PAN,,,PAN,,,,,,,PAN,,PAN,,,,,,
,,,,BICORN,,BICORN,,,BICORN,,,,,,,,,,,BICORN,,,BICORN,,,,,,,BICORN,,BICORN,,,,,,
,입도(60#Thr),60% ↑,,,,,,,,,,,,,,,,,,,,,,,,,69.4 ,70.4 ,76.4,,,,,72.07 ,76.40 ,69.40 ,,
,백도(CJ영등포),90% ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,이  물,"""zero""",,,,,,,,,,,,,,,,,,,,,,,,,무,무,무,,,,,,,,,
썬텐더H,수? 분,13% ↓,,,,,,,,,,,,,,,,,,,7.83 ,8.18 ,,,,,,,,,,,,8.01 ,8.18 ,7.83 ,,
,pH,5~7,,,,,,,,,,,,,,,,,,,6.18 ,6.31 ,,,,,,,,,,,,6.25 ,6.31 ,6.18 ,,
,점도(BU),200~300,,,,,,,,,,,,,,,,,,,193,239,,,,,,,,,,,,216.00 ,239.00 ,193.00 ,,
,회분,0.6 ↓,,,,,,,,,,,,,,,,,,,0.28,0.27,,,,,,,,,,,,0.28 ,0.28 ,0.27 ,,
"썬포스
썬포스200",수? 분,13% ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,FOS함량,(썬포스)40 ↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,,(썬포스200)20 ↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
글루텐피드,수  분,13% ↓,4.27 ,4.22 ,,,3.97 ,4.09 ,3.64 ,4.07 ,4.04 ,4.78 ,,,4.35 ,4.89 ,4.94 ,4.55 ,5.33 ,3.72 ,5.35 ,3.87 ,4.32 ,5.09 ,4.37 ,,,4.50 ,4.56 ,4.30 ,4.49 ,5.02 ,4.33 ,4.44 ,5.35 ,3.64 ,0.47 ,6.68 
